marca,modelo,precio,kilometraje,motor,region,año,combustible,transmision
OPEL,GRANDLAND,13.99,37600,1.6,Metropolitana,2019,gasolina,automatico
SKODA,FABIA,13.68,70086,1.0,Metropolitana,2021,gasolina,automatico
LAND ROVER,DISCOVERY,24.9,109000,2.0,Metropolitana,2018,gasolina,automatico
BMW,Q7,14.99,110000,,Biobío,2014,gasolina,mecanico
M. BENZ,A200,21.5,62700,1.3,Metropolitana,2019,gasolina,automatico
HYUNDAI,ELANTRA,13.48,65000,2.0,Metropolitana,2022,gasolina,mecanico
AUDI,Q5,36.97,16509,2.0,Metropolitana,2021,gasolina,automatico
NISSAN,X-TRAIL,13.19,84000,2.5,Metropolitana,2021,gasolina,automatico
FORD,EXPLORER,21.79,46000,3.5,Antofagasta,2018,gasolina,automatico
VOLVO,C30,6.79,122429,2.0,Metropolitana,2012,gasolina,mecanico
CITROEN,BERLINGO,10.99,99000,1.5,La Araucanía,2021,diesel,mecanico
JEEP,GRAND CHEROKEE,12.99,125000,3.6,La Araucanía,2014,gasolina,automatico
M. BENZ,A200,13.99,97000,1.6,La Araucanía,2016,gasolina,mecanico
OPEL,MOKKA,17.99,53000,1.5,La Araucanía,2023,diesel,mecanico
TOYOTA,TUNDRA,14.99,115000,5.7,Antofagasta,2013,gasolina,automatico
CHEVROLET,CAPTIVA,14.69,21000,1.5,Antofagasta,2021,gasolina,automatico
FORD,RANGER,12.99,266413,3.2,Valparaíso,2013,diesel,mecanico
VOLKSWAGEN,TIGUAN,7.99,157000,1.4,Antofagasta,2014,gasolina,mecanico
FORD,EXPLORER,14.99,82000,2.0,Metropolitana,2015,gasolina,automatico
FORD,Ranger Raptor,38.99,36000,2.0,La Araucanía,2021,diesel,automatico
NISSAN,TERRANO,5.2,181000,2.5,Metropolitana,2005,diesel,mecanico
M. BENZ,A200,11.99,81000,1.6,Biobío,2015,gasolina,mecanico
M. BENZ,SPRINTER,33.5,145000,3.2,Metropolitana,2018,diesel,mecanico
AUDI,A4,22.5,66000,2.0,Metropolitana,2018,diesel,automatico
RENAULT,SYMBOL,7.48,44000,1.6,Metropolitana,2021,gasolina,mecanico
CHEVROLET,ONIX,9.99,92321,1.4,O’Higgins,2020,gasolina,mecanico
VOLVO,C30,6.79,122429,2.0,Metropolitana,2012,gasolina,mecanico
DONGFENG,AX7,6.99,53620,2.0,Metropolitana,2017,gasolina,mecanico
